@relation 'trial-weka.filters.unsupervised.attribute.Remove-R2,4,6-7,9,11,13,15,17-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C5-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-last'

@attribute Sector_score numeric
@attribute PARA_A numeric
@attribute PARA_B numeric
@attribute numbers numeric
@attribute Money_Value numeric
@attribute District numeric
@attribute LOSS_SCORE numeric
@attribute History_score numeric
@attribute Risk {0,1}

@data
3.41,4.13,16.74,5,44.02,2,2,2,1
3.41,12.62,80.06,5.5,43.53,4,2,2,1
3.41,16.36,41.1,5,12.03,4,2,2,1
3.41,12.68,41,5.5,11.88,2,2,2,1
3.41,11.73,85.87,5,6.96,2,2,4,1
3.41,5.15,44.67,5.5,21.07,2,2,2,1
3.41,6.61,55.62,5,57.16,2,4,2,1
3.41,8.03,94.43,5.5,10.65,2,2,6,1
3.41,1.21,34.03,5,5.36,2,2,2,1
3.41,1.64,46.21,5,2.45,2,2,2,1
3.41,1.21,43.84,5.5,31.61,2,2,2,1
3.41,1.1,87.71,5.5,34.32,2,2,2,1
3.41,4.17,24.37,5,4.24,2,2,2,1
3.41,1.08,32.71,5,8.38,2,2,2,1
3.41,12.29,25.74,5,22.1,2,4,2,1
3.41,12.54,31.62,5,54.07,2,2,2,1
3.41,17.26,44.22,5,27.68,2,2,4,1
3.41,1.15,20.1,6,21.45,2,2,2,1
3.41,20.04,48.9,5,11.09,2,2,2,1
3.41,12.17,47,6,10.14,2,2,2,1
3.41,10.37,105.56,9,52.13,2,2,2,1
3.41,9.67,62.25,5.5,17.02,2,2,2,1
3.41,3.77,40.86,5,18,2,2,2,1
3.41,4.73,60.22,5,69.76,2,2,2,1
3.41,6.31,19.42,5.5,13.88,2,2,2,1
3.41,5.61,1.56,5,4.03,2,2,2,1
3.41,5.22,20.94,5,2.44,2,2,2,1
3.41,0.31,58.12,5,78.98,2,4,2,1
3.41,2.86,17.09,5.5,6.88,2,2,2,1
3.41,16.53,72.99,5,5.49,2,2,4,1
3.41,2.7,45.16,5,37.79,2,2,2,1
3.41,3.08,60.78,5,0.36,2,2,2,1
3.41,2,49.19,5,60.88,2,2,4,1
3.41,1.18,0,5.5,183.2,2,4,2,1
3.41,1.07,0,5,10.02,2,2,2,1
3.41,1.07,0,5,0,6,2,2,1
3.41,1.01,0,5,0,2,2,2,1
3.41,0.93,0,5,0,2,2,2,0
3.41,4.01,0,5,0,2,2,2,1
3.41,0.77,0,5,0.32,2,2,2,0
3.41,1.05,0,5,0,2,2,2,1
3.41,1.01,0,5,0.28,2,2,2,1
3.41,0.91,0,5,0,2,2,2,0
3.41,1.12,0,5,0,2,2,2,1
3.41,0.8,0,5,0.18,2,2,2,0
3.41,0.65,0,5,0,2,2,2,0
3.41,0.63,0,5,0,2,2,2,0
3.41,0.43,0,5,0,2,2,2,0
3.41,1.21,0,5,0,2,2,2,1
3.41,0.17,0,5,0,2,2,2,0
3.41,0,0,5,0,4,2,2,1
3.41,0,0,5,0,2,2,2,0
3.41,0.07,0,5,0,2,2,2,0
2.72,5.11,53.76,6,48.56,2,2,6,1
2.72,2.46,6.72,5,0,2,2,2,1
2.72,4.05,21.66,5.5,18.45,2,2,2,1
2.72,2.81,4.6,5,8.44,2,2,2,1
2.72,4.43,61.47,5.5,39.65,2,2,2,1
2.72,3.48,17.85,5,9.53,2,2,2,1
2.72,3.62,44.28,5,44.67,2,2,2,1
2.72,4.34,24.13,5,3.42,2,2,2,1
2.72,3.62,8.37,5,0,2,2,2,1
2.72,3.11,113.97,5.5,26.64,2,2,2,1
2.72,1.65,20.86,5,16.91,2,2,2,1
2.72,3.43,1.53,5,0,2,2,2,1
2.72,3.84,98.67,5,12.9,2,2,2,1
2.72,7.42,115.87,6,6.79,2,2,4,1
2.72,7.07,35.48,5,8.76,2,2,2,1
2.72,3.26,5.55,5,0.21,6,2,2,1
2.72,3.84,144.39,5,19.68,2,4,4,1
2.72,5.5,93.26,5,14.27,2,2,2,1
2.72,1.9,35.04,6.5,16.19,2,2,2,1
2.72,3.5,16.09,5,5.03,2,2,2,1
2.72,1.46,0.75,5,0.11,2,2,2,1
2.72,4.6,54.99,5,14.1,2,2,2,1
2.72,7.43,79.5,5,102.39,2,2,2,1
2.72,3.51,52.89,5,4.26,2,2,2,1
2.72,5.65,67.16,6,27.23,2,2,2,1
2.72,1.33,0.35,5,0,2,2,2,1
2.72,5.45,71.09,5.5,59.18,2,2,2,1
2.72,1.73,5.64,5,13.35,2,2,2,1
2.72,6.02,135.69,6,89.64,4,2,2,1
2.72,3.22,55.64,5,80.8,2,4,2,1
2.72,2.41,5.28,5,8.95,4,2,2,1
2.72,2.84,64.91,5.5,124.59,4,2,2,1
2.72,1.75,0.57,5,0,4,2,2,1
2.72,2.18,30.81,5,5.8,4,2,2,1
2.72,3.26,2.81,6,21.6,4,2,2,1
2.72,4.43,51.32,5.5,145.97,2,2,2,1
2.72,5.61,99.33,6.5,76.47,2,2,2,1
2.72,3.9,27.92,5,47.6,2,2,2,1
2.72,2.19,0.68,5,28.4,2,2,2,1
2.72,1.56,14.64,5,25.97,2,2,2,1
2.72,4.53,87.93,5,85.81,2,2,2,1
2.72,4.97,42.19,5.5,45.37,2,2,2,1
2.72,2.13,0.59,5,0.76,2,2,2,1
2.72,3.66,15.47,5,1.43,2,2,2,1
2.72,1.64,0.19,5,1.59,2,2,2,1
2.72,4.9,98.71,5.5,82.99,2,2,4,1
2.72,5.68,67.38,5,86.7,2,2,4,1
2.72,3.99,92.05,5,15.14,2,2,4,1
2.72,3.47,47.07,5,31.38,2,2,2,1
2.72,2.68,38.32,5,7.17,2,2,2,1
2.72,2.13,42.64,5,18.24,2,2,2,1
2.72,4.28,1264.63,5.5,58.86,6,2,6,1
2.72,4.36,33.91,5.5,6.06,6,4,2,1
2.72,2.23,4.54,5,22.8,6,2,2,1
2.72,2,0.32,5,5.37,2,2,2,1
2.72,3.04,67.37,6.5,77.47,2,2,2,1
2.72,1.19,122.07,5,15.2,2,2,2,1
2.72,1.35,0,6,680.14,2,2,2,1
2.72,1.14,0,5,0.71,2,2,2,1
2.72,1.51,0,5,0,2,2,2,1
2.72,1.13,0,5,0,2,2,2,1
2.72,1.5,0,5,1.44,2,2,2,1
2.72,0.96,0,5,0,2,2,2,0
2.72,1.6,0,5,0,2,2,2,1
2.72,1.34,0,5,0,4,2,2,1
2.72,1.6,0,5,0.06,2,2,2,1
2.72,1.13,0,5,0.02,2,2,2,1
2.72,0,0,5,0,2,2,2,0
2.72,0,0,5,0,2,2,2,0
2.72,0.77,0,5,4.6,2,2,2,0
2.72,1.05,0,5,0,2,2,2,1
2.72,0,0,5,0,2,2,2,0
2.72,0,0,5,30.85,2,2,2,1
2.72,0,0,5,0,4,2,2,1
2.72,0,0,5,0,2,2,2,0
2.72,0,0,5,0,2,2,2,0
2.72,0.84,0,5,8.21,2,2,2,1
2.72,0,0,5,0,2,2,2,0
2.72,0.85,0,5,0,2,2,2,0
2.72,0,0.28,5,0,2,2,2,0
2.72,0.61,0.07,5,0,2,2,2,0
2.72,0,0.62,5,0,2,2,2,0
2.37,3.43,1,5.5,49.31,2,4,4,1
2.37,1.63,5.86,5,3.69,2,2,2,1
2.37,3.75,1.25,6,11.25,6,2,2,1
2.37,2.29,2.64,5,3.08,2,2,2,1
2.37,2.51,8.59,5.5,16.03,2,2,6,1
2.37,2.21,5.21,5,3.43,2,2,2,1
2.37,2.22,6.23,5,0.89,2,2,2,1
2.37,1.67,0.39,5,1.43,2,2,2,1
2.37,2.59,0.66,5,1.28,2,2,2,1
2.37,2.39,7.72,5,5.42,2,2,4,1
2.37,3.42,10.55,5,6.96,2,2,2,1
2.37,3.61,2.13,5,5.41,2,4,6,1
2.37,1.86,4.51,5,7.27,2,2,2,1
2.37,1.9,7.97,5,8.6,2,2,4,1
2.37,3.29,6.41,5,3.66,2,2,2,1
2.37,2.6,1.14,5,8.76,2,2,4,1
2.37,3.81,11.52,5,3.25,4,2,2,1
2.37,2.1,5.06,5,5.41,2,2,2,1
2.37,2.22,3.4,5,26.28,2,2,4,1
2.37,0.96,0.12,5,0.22,2,2,2,0
2.37,0.81,4.6,5,1.82,2,2,2,1
2.37,1.25,0.02,5,0.82,2,2,2,1
2.37,1.65,0.02,5,27.99,2,2,2,1
2.37,1.65,0.02,5,2.47,2,2,2,1
2.37,2.13,0.11,5,7.54,2,2,2,1
2.37,0.44,0.02,5,27.1,6,2,2,1
2.37,1.31,0.12,5.5,0,6,2,2,1
2.37,0.39,0.14,5,0.58,2,2,2,0
2.37,1,1.1,5,0,2,2,2,1
2.37,0.42,0.27,5,0,2,2,2,0
2.37,1.07,0.59,5,0,2,2,2,1
2.37,1.29,0.25,5,0,2,2,2,1
2.37,0.02,0.87,5,0.04,2,2,2,0
2.37,1.46,0.55,5,0.67,2,2,2,1
2.37,0.84,0.06,5,0.72,2,2,2,0
2.37,0.66,1.37,5,0.84,4,2,2,1
2.37,0.53,5.4,5,0.72,2,2,2,1
2.37,0.39,0.47,5,0,2,2,2,0
2.37,0.51,0.47,5,0,2,2,2,0
2.37,0.47,0.29,5,0.07,2,2,2,0
2.37,3.35,0.99,5,0.12,2,2,2,1
2.37,0.32,0.49,5,6.73,6,2,2,1
2.37,0.51,0,5,0,6,2,2,1
2.37,0,0,5,0.05,2,2,2,0
2.37,0.31,0.69,5,0,2,2,2,0
2.37,0.61,1.54,5,0.57,2,2,2,1
2.37,0.26,0.17,5,0,2,2,2,0
2.37,0.73,0.05,5,6.14,6,2,2,1
2.37,0,0,5,0,6,2,2,1
2.37,1.27,1.01,5,1.15,2,2,2,1
2.37,1.62,0.49,5,0,2,2,2,1
2.37,1.54,0.46,5,0.57,2,2,2,1
2.37,2.18,0.93,5,0,6,2,2,1
2.37,7.59,1.47,5.5,36.29,6,2,2,1
2.37,0.76,0.34,5,0,6,2,2,1
2.37,0.38,0.85,5,0.04,2,2,2,0
2.37,1.29,0.13,5,0,2,2,2,1
2.37,1.99,0.63,5,0,2,2,2,1
2.37,0,0,5,0,2,2,2,0
2.37,0.02,0.05,5,0,2,2,2,0
2.37,0.14,0.08,5,0,2,2,2,0
2.37,0.09,0,5,0,2,2,2,0
2.37,0,0,5,0,2,2,2,0
2.37,0,0,5,0,2,2,2,0
2.37,0.01,0.007,5,0,2,2,2,0
2.37,0.17,0.04,5,0,2,2,2,0
2.37,1.66,0.83,5,0.31,6,2,2,1
2.37,0.5,0.04,5,0,6,2,2,1
2.37,0.9,0.29,5,1.22,6,2,2,1
2.37,0,0,5,0.23,6,2,2,1
1.99,57.03,134.33,5,844.37,2,2,2,1
1.99,0.58,0,5,0,2,2,2,0
1.99,1.52,0,5,6.96,2,2,2,1
1.99,0.9,0,5,1.95,2,2,2,0
1.99,1.19,0,5,0,2,2,2,1
1.99,0.53,0,5,2.33,2,2,2,0
1.99,0.93,0,5,0.11,2,2,2,0
1.99,1.89,0,5,0,2,2,2,1
1.99,1.71,0,5,0.09,2,2,2,1
1.99,0.3,0,5,0,2,2,2,0
1.99,0.76,0,5,7.48,2,2,2,1
1.99,0.96,0,5,9.45,2,2,2,1
1.99,1.26,0,5,0,2,2,2,1
1.99,0.55,0,5,0.67,2,2,2,0
1.99,0.29,0,5,0.06,2,2,2,0
1.99,1.27,0,5,2.77,2,2,2,1
1.99,1.34,0,5,0,2,2,2,1
1.99,0.56,0,5,1.75,2,2,2,0
1.99,0.86,0,5,0,6,2,2,1
1.99,1.62,0,5,0,6,2,2,1
1.99,3.02,0,5,0,6,2,2,1
1.99,0.59,0,5,0,6,2,2,1
1.99,1.1,0,5,0,2,2,2,1
1.99,1.03,0,5,27.28,2,2,2,1
1.99,0.66,0,5,0.73,2,2,2,0
1.99,0.48,0,5,0.47,2,2,2,0
1.99,1.27,0,5,175.9,2,2,2,1
1.99,0.43,0,5,13.54,2,2,2,1
1.99,1.65,0,5,0.01,2,2,2,1
1.99,1.4,0,5,0,2,2,2,1
1.99,1.14,0,5,41.82,2,2,2,1
1.99,0.45,0,5,0,2,2,2,0
1.99,0.6,0,5,0,2,2,2,0
1.99,0.85,0,5,0,2,2,2,0
1.99,1.19,0,5,29.76,2,2,2,1
1.99,1.23,0,5,0.11,2,2,2,1
1.99,1.12,0,5,0.05,2,2,2,1
1.99,1.53,0,5,0.03,4,2,2,1
1.99,0.77,0,5,0,4,2,2,1
1.99,0.56,0,5,0,4,2,2,1
1.99,1.82,0,5,85.13,4,2,2,1
1.99,0.44,0,5,0.04,4,2,2,1
1.99,1.46,0,5,0,2,2,2,1
1.99,1.12,0,5,10.98,2,2,2,1
1.99,1.56,0,5,0.1,2,2,2,1
1.99,0,0,5,0,2,2,2,0
1.99,0,0,5,0,2,2,2,0
1.85,11.24,9.49,5.5,173.02,2,2,2,1
1.85,3.7,0,5,0.12,2,2,2,1
1.85,8.53,0.16,5,0.52,2,4,2,1
1.85,0.47,1.59,5,1.24,2,2,2,1
1.85,0.95,1.33,5,0.07,4,2,2,1
1.85,13.15,1.63,5,1.19,4,2,2,1
1.85,3.17,0.44,5,0,4,2,2,1
1.85,7.02,1.77,5,0,4,2,2,1
1.85,0,0,5,0,2,2,2,0
1.85,0.95,0,5,0.13,4,4,2,1
1.85,0,0,5,10.53,4,2,2,1
1.85,9.19,4.2,5,0.52,2,2,2,1
1.85,9.14,1.22,5,0,6,2,2,1
1.85,0.26,0,5,0,2,2,2,0
1.85,3.05,0.05,5,0,2,2,2,1
1.85,0.56,72,5,0.51,2,2,2,1
1.85,2.96,0.15,5,0,2,2,2,1
1.85,2.48,0,5,0,2,2,2,1
1.85,9.94,0.44,5,0.15,2,2,2,1
1.85,5.13,0.09,5,0.01,2,2,2,1
1.85,2.49,0.29,5,0.49,2,2,2,1
1.85,7.22,0.28,5,0,2,2,2,1
1.85,0.71,0.66,5,0,2,2,2,0
1.85,19.21,2.47,5,0,6,2,2,1
1.85,0.18,0,5,0,6,4,2,1
1.85,5.9,0,5,0.74,6,4,2,1
1.85,4.04,0,5,0.79,6,2,2,1
1.85,2.81,0.11,5,19.45,6,2,2,1
1.85,5.87,0,5,0.44,6,2,2,1
1.85,1.75,0,5,0.35,6,2,2,1
1.85,2.05,0,5,3.53,6,2,2,1
1.85,0,0,5,0.04,6,4,2,1
1.85,3.67,0.18,5,0,2,2,2,1
1.85,0.64,0.95,5,0,2,2,4,1
1.85,7.37,1.64,5,0.08,2,2,2,1
1.85,10.79,0.67,5,0.04,2,2,2,1
1.85,10.02,0.95,5,0.43,2,2,2,1
1.85,0.44,0.62,5,0.64,2,2,2,0
1.85,2.89,0.11,5,0.04,2,2,2,1
1.85,0.6,1.14,5,0.43,2,2,2,1
1.85,0.79,1.01,5,0.57,2,2,2,1
1.85,3.26,0.36,5,0.02,2,2,2,1
1.85,8.94,1.32,5,0.02,2,2,2,1
1.85,4.6,1.17,5,0.04,2,2,2,1
1.85,7.01,1.12,5,0.1,2,2,2,1
1.85,1.04,0.91,5,0.37,2,2,2,1
1.85,2.81,0.41,5,0,2,2,2,1
1.85,0.7,0.6,5,0.51,2,2,2,0
1.85,0.78,0.97,5,0.97,2,2,2,0
1.85,7.09,1.95,5,0,2,2,2,1
1.85,1.39,1.1,5,0,2,2,2,1
1.85,2.46,0.37,5,0,2,2,2,1
1.85,2.48,0.1,5,0,2,2,2,1
1.85,1.28,1.75,5,0,2,2,2,1
1.85,3.83,0.28,5,0,2,2,2,1
1.85,3.74,0.55,5,0,2,2,2,1
1.85,11.44,1.41,5,0.04,2,2,2,1
1.85,4.99,0.64,5,0,2,2,2,1
1.85,8.25,1.59,5,0.02,2,2,2,1
1.85,0.25,1.8,5,0.74,2,2,2,1
1.85,7.2,0.43,5,0.01,2,2,2,1
1.85,0.73,1.24,5,0.2,2,2,2,1
1.85,5.2,0,5,0,2,2,2,1
1.85,1.16,0,5,0.11,6,2,2,1
1.85,0,0,5,0.19,6,2,2,1
1.85,0.65,0.03,5,0.14,2,2,2,0
1.85,0.79,0,5,3.54,2,2,2,0
1.85,3.28,0.25,5,0.04,6,2,2,1
1.85,0.9,0,5,0.13,6,2,2,1
1.85,5,0.54,5,0,2,2,2,1
1.85,7.07,0.72,5,0,2,2,2,1
1.85,1.08,1.98,5,3.92,2,2,2,1
1.85,3.46,0.09,5,0.06,2,2,2,1
1.85,0.6,1.08,5,0.33,2,2,2,1
1.85,3.92,1.08,5,0,2,2,2,1
1.85,7.84,2.81,5,0,2,4,2,1
1.85,0.99,0,5,0,4,2,2,1
1.85,0.17,0.11,5,0,2,2,2,0
1.85,45.23,36.18,5,0,6,2,2,1
1.85,1.69,0.21,5,0,2,2,2,1
1.85,0.18,0.63,5,0,2,2,2,0
1.85,0.01,0.91,5,0,2,2,2,0
1.85,0.88,1.5,5,0.19,2,2,2,1
1.85,1.17,0.15,5,0,2,2,2,1
1.85,0,0,5,0,4,2,2,1
1.85,0,0,5,0,2,2,2,0
1.85,0,0,5,0.2,4,2,2,1
1.85,0,0,5,0,2,2,2,0
1.85,0,0,5,0,6,2,2,1
1.85,0.99,0.11,5,0,6,2,2,1
1.85,0.21,0,5,0,2,2,2,0
1.85,2.2,0.28,5,0,2,2,2,1
1.85,3.31,0.17,5,0,2,2,2,1
1.85,2.43,0.27,5,0,2,2,2,1
1.85,13.91,0.5,5,0.19,2,2,2,1
2.36,1.71,0,6.5,88.4,6,4,6,1
2.37,1.13,3.85,6.5,20.89,6,2,2,1
2.37,17.53,0,6.5,94.75,6,2,6,1
2.37,0.56,0.7,5,0,6,2,2,1
2.37,0.56,0.08,5,0.05,6,2,2,1
2.34,3.95,0,5.5,83.96,6,2,4,1
2.34,0,0,5,0,2,2,2,0
2.34,0,0,5,0,2,2,2,0
2.34,0,0,5,0,2,2,2,0
2.34,0,0,5,0,2,2,2,0
15.56,20.65,0,6,397.31,6,2,4,1
15.56,3.73,2.82,6,160.41,6,2,2,1
15.56,0,0,5,23.97,6,2,2,1
17.68,2.52,20.28,5,70.56,6,2,2,1
21.61,3.14,5.68,5.5,11.33,4,2,2,1
21.61,0.88,1.07,5,0.76,2,2,2,1
21.61,0.8,0.82,5,1.32,2,2,2,0
21.61,0.7,0.72,5,0,2,2,2,0
21.61,0,0.39,5,0.24,2,2,2,0
21.61,0.33,0,5,0,2,2,2,0
21.61,0.28,0.16,5,0,2,2,2,0
21.61,0.19,0.27,5,0.65,2,2,2,0
21.61,0.53,0.62,5,0.01,2,2,2,0
21.61,0.46,0.88,5,0.58,2,2,2,0
21.61,0.31,0.28,5,0,2,2,2,0
21.61,85,1.06,5,0,6,2,2,1
21.61,0.75,0.9,5,1.4,2,2,2,0
21.61,0.85,0.93,5,0,2,2,2,0
21.61,0.34,0.36,5,0.03,2,2,2,0
21.61,0.66,0.81,5,0.03,2,2,2,0
21.61,0.59,0.69,5,0,2,2,2,0
21.61,0.61,0.63,5,0,2,2,2,0
21.61,0.72,0.8,5,0.02,2,2,2,0
21.61,0.37,0.1,5,0,2,2,2,0
21.61,0.62,0.71,5,0.08,2,2,2,0
21.61,0.98,1.14,5,0,2,2,2,1
21.61,0.32,0,5,0,2,2,2,0
21.61,0.56,0.63,5,0.09,2,2,2,0
21.61,0.54,0.56,5,0.8,2,2,2,0
21.61,0.63,0.69,5,0.32,2,2,2,0
21.61,0.37,0.46,5,0,2,2,2,0
21.61,0,0,5,0,2,2,2,0
21.61,0.29,0.33,5,0,2,2,2,0
21.61,0.67,0.76,5,0,2,2,2,0
21.61,0.43,0,5,0,2,2,2,0
21.61,0.67,0.75,5,0.39,2,2,2,0
21.61,0.84,1.09,5,0,2,2,2,1
21.61,0.52,0.68,5,0,2,2,2,0
21.61,0.38,0.48,5,0.33,2,2,2,0
21.61,0.19,0.23,5,0,2,2,2,0
21.61,0.27,0.35,5,0,2,2,2,0
21.61,0.34,0.27,5,0,2,2,2,0
21.61,0.02,0.66,5,0,2,2,2,0
21.61,0,0,5,0.03,2,2,2,0
21.61,0,0,5,0,2,2,2,0
59.85,1.94,6.69,5.5,13.3,6,2,4,1
59.85,0,0,5,0.29,2,2,2,0
59.85,0,0,5,3.3,2,2,2,0
59.85,0.27,0,5,16.09,2,2,2,1
59.85,0,0,5,1.44,2,2,2,0
59.85,0.03,0,5,1.66,2,2,2,0
59.85,0,0,5,0.19,2,2,2,0
59.85,0,0,5,0.7,2,2,2,0
59.85,0.05,0,5,0.63,2,2,2,0
59.85,0,0,5,0.93,2,2,2,0
